"Afghanistan";"Armed conflict:Abuses by armed groups:Violence against women and girls:Refugees and internally displaced people:Human rights defenders:Freedoms of expression and assembly:Torture and other ill-treatment:Death penalty"
"Albania";"Enforced disappearances:Housing rights - forced evictions:Justice system:Refugees and asylum-seekers:Torture and other ill-treatment"
"Algeria";"Freedoms of association and assembly:Freedom of expression:Freedom of religion and belief:Human rights defenders:Justice system:Women’s rights:Refugees’ and migrants’ rights:Counter-terror and security:Impunity:Death penalty"
"Angola";"Justice system:Freedom of association:Freedom of assembly:Freedom of expression:Right to health - yellow fever:Outbreak:Housing rights - forced eviction"
"Argentina";"Sexual and reproductive rights:Indigenous peoples’ rights:Refugees’ and migrants’ rights:Impunity:Freedoms of expression and assembly:Human rights defenders:Torture and other ill-treatment"
"Armenia";"Excessive use of force:Arbitrary arrests and detentions:Torture and other ill-treatment:Sexual and reproductive rights"
"Australia";"Indigenous peoples’ rights:Refugees and asylum-seekers:Rights of lesbian, gay, bisexual, transgender and intersex people:Counter-terror and security"
"Austria";"Refugees’ and migrants’ rights:Discrimination:Counter-terror and security"
"Azerbaijan";"Prisoners of conscience:Freedom of expression:Freedom of association:Freedom of assembly:Torture and other ill-treatment:Armed conflict"
"Bahamas";"Institutional developments:Rights of lesbian, gay, bisexual, transgender and intersex people:Right to privacy"
"Bahrain";"Freedom of expression:Freedom of association:Freedom of assembly:Freedom of movement:Torture and other ill-treatment:Impunity:Rights of lesbian, gay, bisexual, transgender and intersex people:Women’s rights:Migrant workers’ rights:Death penalty"
"Bangladesh";"Freedom of expression:Enforced disappearances:Abuses by armed groups:Death penalty:Torture and other ill-treatment:Chittagong hill tracts:Violence against women and girls"
"Belarus";"Death penalty:Freedom of expression:Surveillance:Freedom of association:Freedom of assembly:Institutional developments"
"Belgium";"Counter-terror and security:Prison conditions:Discrimination:Arms trade:Violence against women and girls"
"Benin";"Freedoms of assembly and expression:Unlawful killings:Prison conditions:Children’s rights:Death penalty"
